movie_name,release_date,earning
Get Out,1995,"$255,745,157"
Marley & Me,2019,"$255,743,093"
Cliffhanger,2007,"$255,000,211"
Baahubali 2: The Conclusion,2008,"$254,158,390"
Babe,1997,"$254,134,910"
Men in Black: International,2019,"$253,890,701"
Wild Hogs,2010,"$253,625,427"
High School Musical 3: Senior Year,2020,"$252,909,177"
Hercules,1997,"$252,712,101"
X-Men: Dark Phoenix,2013,"$252,442,974"
True Grit,1998,"$252,276,927"
Dolittle,1998,"$251,410,631"
Bean,2006,"$251,212,670"
American Hustle,2003,"$251,171,807"
Enemy of the State,1998,"$250,849,789"
You've Got Mail,2022,"$250,821,495"
Eragon,2002,"$250,425,512"
Brother Bear,1999,"$250,397,798"
The Godfather,2000,"$250,341,816"
The Mask of Zorro,2003,"$250,288,523"
The Bad Guys,2017,"$250,162,278"
The Ring,1994,"$249,348,933"
The Blair Witch Project,2019,"$248,639,099"
Unbreakable,2013,"$248,118,121"
Love Actually,2015,"$247,933,248"
Journey to the West: The Demons Strike Back,2011,"$247,585,244"
Dumb and Dumber,1994,"$247,290,327"
Glass,1997,"$246,999,039"
Grown Ups 2,2016,"$246,984,278"
The Peanuts Movie,2012,"$246,233,113"
Rango,2003,"$245,724,603"
Four Weddings and a Funeral,2019,"$245,700,832"
Face/Off,2008,"$245,676,146"
Teenage Mutant Ninja Turtles: Out of the Shadows,1990,"$245,623,848"
Dark Shadows,2015,"$245,527,149"
Hulk,2014,"$245,285,165"
The Bravest,1998,"$245,179,562"
Welcome to the Sticks,2008,"$245,144,417"
Back to the Future Part III,2013,"$245,077,583"
Pixels,1992,"$244,874,809"
Hercules,2009,"$244,819,862"
Rush Hour,2002,"$244,721,064"
Journey to the Center of the Earth,2015,"$244,232,688"
After Earth,2014,"$243,611,982"
A Few Good Men,1996,"$243,240,178"
Cloudy with a Chance of Meatballs,2017,"$243,006,126"
8 Mile,2016,"$242,875,078"
Daddy's Home,2016,"$242,786,137"
RoboCop,2006,"$242,688,965"
Eraser,2020,"$242,295,562"
Alien: Covenant,2013,"$240,891,763"
Sully,2012,"$240,797,623"
Assassin's Creed,1990,"$240,697,856"
Click,1988,"$240,685,326"
Legend of Deification,2022,"$240,646,355"
Planes,2018,"$240,171,783"
Resident Evil: Retribution,1997,"$240,159,255"
Die Hard 2,2004,"$240,031,274"
Crocodile Dundee II,2010,"$239,606,210"
Bullet Train,2000,"$239,268,602"
Crazy Rich Asians,1977,"$238,843,729"
Batman & Robin,2012,"$238,235,719"
Howl's Moving Castle,2003,"$237,536,126"
Gulliver's Travels,2016,"$237,382,724"
Gone in 60 Seconds,2001,"$237,202,299"
Saturday Night Fever,1989,"$237,113,184"
Silver Linings Playbook,2015,"$236,412,453"
2 Fast 2 Furious,1999,"$236,350,661"
Hidden Figures,2012,"$235,956,898"
A.I. Artificial Intelligence,1999,"$235,926,552"
Dead Poets Society,2015,"$235,860,116"
Spy,2014,"$235,666,219"
American Pie,2021,"$235,483,004"
American Reunion,2008,"$234,989,584"
Big Daddy,2003,"$234,801,895"
Alvin and the Chipmunks: The Road Chip,2011,"$234,798,636"
The Imitation Game,2007,"$233,555,708"
Cruella,2012,"$233,503,234"
The Day the Earth Stood Still,2007,"$233,093,859"
American Wedding,1996,"$232,722,935"
The Girl with the Dragon Tattoo,1992,"$232,617,430"
Juno,2019,"$232,372,681"
Argo,2005,"$232,325,503"
Mr. Bean's Holiday,2008,"$232,225,908"
The English Patient,1996,"$231,976,425"
Sister Act,1998,"$231,605,150"
Annabelle Comes Home,2013,"$231,252,591"
Constantine,2016,"$230,884,728"
Get Smart,2007,"$230,685,453"
Space Jam,2015,"$230,594,962"
Life Is Beautiful,2017,"$230,098,753"
The Heat,1993,"$229,930,771"
Ghostbusters,1989,"$229,147,509"
Ghost Rider,2011,"$228,738,393"
Goodbye Mr. Loser,1985,"$228,122,928"
Paddington 2,2003,"$227,994,792"
Sleepless in Seattle,2017,"$227,927,165"
Lethal Weapon 2,2017,"$227,853,986"
The Green Hornet,2011,"$227,817,248"
Out of Africa,2008,"$227,514,205"
Elf,2010,"$227,356,156"
Youth,2022,"$227,091,290"
Baby Driver,2013,"$226,945,087"
Immortals,2017,"$226,904,017"
Taken,1997,"$226,837,760"
Percy Jackson & the Olympians: The Lightning Thief,2019,"$226,497,209"
Lightyear,2019,"$226,425,420"
Hansel & Gretel: Witch Hunters,2008,"$226,349,749"
Valerian and the City of a Thousand Planets,2010,"$225,973,340"
Good Will Hunting,2000,"$225,933,435"
Better Days,1997,"$225,918,798"
Ford v Ferrari,1994,"$225,508,210"
Jumper,2005,"$225,132,113"
The Social Network,2008,"$224,920,375"
Chicken Run,2014,"$224,874,811"
Con Air,1989,"$224,012,234"
Interview with the Vampire: The Vampire Chronicles,2004,"$223,664,608"
Flightplan,1999,"$223,387,299"
Yes Man,2021,"$223,241,637"
Non-Stop,2017,"$222,809,600"
"Honey, I Shrunk the Kids",1990,"$222,724,172"
Fahrenheit 9/11,2021,"$222,446,882"
Wild Wild West,2003,"$222,104,681"
"My Country, My Parents",2004,"$221,831,086"
Geostorm,2016,"$221,600,160"
Presumed Innocent,2007,"$221,303,188"
Jungle Cruise,2011,"$220,889,446"
Scary Movie 3,2008,"$220,673,217"
Collateral,2009,"$220,239,925"
Inferno,2004,"$220,021,259"
Knocked Up,2019,"$219,922,417"
Green Lantern,2013,"$219,851,172"
What Happens in Vegas,1998,"$219,375,562"
It's Complicated,2012,"$219,103,655"
The Terminal,2005,"$219,100,084"
Little Women,2017,"$218,843,645"
Captain Phillips,2022,"$218,791,811"
The Prince of Egypt,2014,"$218,613,188"
Jack Reacher,2016,"$218,340,595"
Kingdom of Heaven,2004,"$218,122,627"
The Emoji Movie,2011,"$217,776,646"
Too Cool to Kill,1988,"$217,254,604"
Dracula Untold,2010,"$217,124,280"
Central Intelligence,2011,"$216,972,543"
Million Dollar Baby,2022,"$216,763,646"
The Help,2020,"$216,639,112"
Twins,2020,"$216,614,388"
Valentine's Day,1994,"$216,528,528"
Bad Teacher,2015,"$216,197,492"
Smile,1992,"$216,135,048"
A Little Red Flower,2000,"$216,000,000"
The Croods: A New Age,1989,"$215,905,815"
Clear and Present Danger,2000,"$215,887,717"
One Hundred and One Dalmatians,2010,"$215,880,014"
Ted 2,2011,"$215,863,606"
Dracula,2014,"$215,862,692"
Vertical Limit,1987,"$215,663,859"
Ghostbusters II,2018,"$215,394,738"
The Patriot,2018,"$215,294,342"
The Sorcerer's Apprentice,2009,"$215,283,742"
Just Go with It,2002,"$214,945,591"
